KIDS_TILE,KIDS_ID,RAJ2000,DECJ2000,MAG_AUTO,paper
KIDS_18.8_-32.1,KiDSDR4 J011731.429-314432.70,19.380956,-31.742419,19.7469,Li+20
KIDS_17.1_-29.2,KiDSDR4 J010649.164-284137.90,16.704852,-28.693863,17.9299,Li+20
KIDS_150.1_2.2,KiDSDR4 J100108.387+024029.67,150.284948,2.67491,19.5126,Li+20
KIDS_160.0_-0.5,KiDSDR4 J104119.501-000416.30,160.331257,-0.071195,19.343,Li+20
KIDS_34.2_-29.2,KiDSDR4 J021504.013-284248.57,33.766723,-28.713492,18.5877,Li+20
KIDS_189.0_0.5,KiDSDR4 J123554.179+005550.41,188.97575,0.93067,18.4908,Li+20
KIDS_203.0_0.5,KiDSDR4 J133317.497+005907.56,203.322906,0.985436,18.7218,Li+20
KIDS_214.6_2.5,KiDSDR4 J141913.862+025635.41,214.807762,2.94317,18.8583,Li+20
KIDS_194.5_3.5,KIDS J125808.27+033208.86,194.534464079,3.53579372568,18.4582,Li+2021
KIDS_31.4_-27.2,KIDS J020706.67-272644.71,31.777780542,-27.4457522527,17.6572,Li+2021
KIDS_191.5_3.5,KIDS J124727.77+035701.16,191.865712118,3.95032211482,17.6281,Li+2021
KIDS_190.5_3.5,KIDS J124350.11+031434.75,190.958787558,3.24298710015,20.4942,Li+2021
KIDS_169.5_-3.5,KIDS J111826.56-033739.06,169.61065627,-3.62751571886,18.5258,Li+2021
KIDS_356.5_-30.2,KIDS J234804.98-302855.45,357.020743609,-30.4820703848,19.8429,Li+2021
KIDS_192.5_3.5,KIDS J124952.79+030933.21,192.469978935,3.15922563191,18.7408,Li+2021
KIDS_30.4_-35.1,KIDS J020317.64-353056.15,30.8235115757,-35.5155966952,20.4508,Li+2021
KIDS_31.6_-35.1,KIDS J020526.09-353947.36,31.3587257933,-35.6631549277,18.8324,Li+2021
KIDS_202.6_3.5,KIDS J133134.96+033139.35,202.895676994,3.52759639109,20.805,Li+2021
KIDS_217.6_3.5,KIDS J142822.48+031800.06,217.093653248,3.30001701066,20.5881,Li+2021
KIDS_195.0_1.5,KIDS J130004.86+014450.56,195.020230057,1.74737852091,20.0374,Li+2021
KIDS_161.4_-3.5,KIDS J104724.45-031242.50,161.851864138,-3.21180570197,19.3084,Li+2021
KIDS_229.6_2.5,KIDS J151737.38+024235.06,229.405767818,2.70973779173,18.5053,Li+2021
KIDS_164.5_2.5,KIDS J105559.06+022249.79,163.996066425,2.38049847057,19.0038,Li+2021
KIDS_196.5_-3.5,KIDS J130526.14-035438.01,196.358924333,-3.91055850374,18.9711,Li+2021
KIDS_193.5_-3.5,KIDS J125505.42-032459.25,193.772938754,-3.41644406008,20.0699,Li+2021
KIDS_218.6_3.5,KIDS J143354.72+030014.06,218.478004811,3.00390449469,20.474,Li+2021
KIDS_26.8_-31.2,KIDS J014907.97-313738.93,27.2832188728,-31.6274798621,20.953,Li+2021
KIDS_38.9_-35.1,KIDS J023341.29-344759.24,38.4220389784,-34.7997875669,20.7505,Li+2021
KIDS_180.5_-3.5,KIDS J120143.00-035815.58,180.429176634,-3.97099390137,18.589,Li+2021
KIDS_205.6_-3.5,KIDS J134404.67-030629.89,206.019440942,-3.10830341849,17.5325,Li+2021
KIDS_217.6_3.5,KIDS J143018.63+034441.30,217.577609142,3.74480677596,20.8596,Li+2021
KIDS_178.5_-3.5,KIDS J115351.69-033557.74,178.465030738,-3.59949473686,20.4965,Li+2021
KIDS_184.5_-3.5,KIDS J121631.22-035304.15,184.130076488,-3.88448595198,19.3739,Li+2021
KIDS_339.8_-27.2,KIDS J224120.79-272937.60,340.336624049,-27.4937773883,18.5693,Li+2021
KIDS_25.9_-32.1,KIDS J014319.43-321914.54,25.8309670575,-32.3207051605,18.9009,Li+2021
KIDS_190.5_3.5,KIDS J124157.98+034721.94,190.491582933,3.78942915194,17.9694,Li+2021
KIDS_171.5_3.5,KIDS J112610.75+033847.89,171.544771193,3.64663546532,19.4704,Li+2021
KIDS_171.5_3.5,KIDS J112610.68+033848.05,171.544771193,3.64663546532,19.1762,Li+2021
KIDS_185.5_3.5,KIDS J122203.54+030743.20,185.514736702,3.12866759289,17.351,Li+2021
KIDS_178.5_3.5,KIDS J115247.36+034255.18,178.197339214,3.71532767264,20.3757,Li+2021
KIDS_9.6_-34.1,KIDS J003639.79-342535.61,9.1658087443,-34.426559653,18.7459,Li+2021
KIDS_195.5_-3.5,KIDS J130021.54-035610.71,195.089766749,-3.93630901829,19.2234,Li+2021
KIDS_2.2_-27.2,KIDS J001011.07-270046.47,2.5461050126,-27.0129096457,17.433,Li+2021
KIDS_26.9_-27.2,KIDS J014658.63-264616.68,26.7442752755,-26.7713003698,18.978,Li+2021
