z_re,z_im,w_re,w_im
-2.8983050847457625,1.0677966101694913,1.436027249597643,6.250613703853235
-2.8983050847457625,1.1694915254237293,1.4226014757504664,6.226223979990911
-2.8983050847457625,1.2711864406779663,1.4093350308684076,6.202990764285827
-2.8983050847457625,1.3728813559322033,1.3962376636756837,6.180902733017836
-2.8983050847457625,1.4745762711864412,1.383318082057575,6.159945329335205
-2.8983050847457625,1.5762711864406782,1.3705839659213037,6.140101073666655
-2.8983050847457625,1.6779661016949152,1.3580419898952347,6.121349878968829
-2.8983050847457625,1.7796610169491531,1.3456978545032305,6.103669365387301
-2.8983050847457625,1.8813559322033901,1.333556324433893,6.0870351695762865
-2.8983050847457625,1.9830508474576272,1.3216212725483683,6.071421244629633
-2.8983050847457625,2.084745762711865,1.3098957283279682,6.056800147291961
-2.8983050847457625,2.186440677966102,1.2983819295467225,6.043143309818177
-2.8983050847457625,2.288135593220339,1.287081376056822,6.030421294510986
-2.8983050847457625,2.389830508474577,1.2759948846901317,6.01860402957449
-2.8983050847457625,2.491525423728814,1.2651226444006722,6.007661025467126
-2.8983050847457625,2.593220338983051,1.2544642708961597,5.997561571413291
-2.8983050847457625,2.694915254237289,1.2440188601273787,5.988274912138207
-2.8983050847457625,2.796610169491526,1.2337850401191284,5.979770405225868
-2.8983050847457625,2.898305084745763,1.2237610207335043,5.972017659768689
-2.8983050847457625,3.0,1.2139446410538137,5.964986657184954
-2.7966101694915255,-3.0,-1.5530479402930553,-1.7585798231214431
-2.7966101694915255,-2.8983050847457625,-1.5616971154906345,-1.8019948581533674
-2.7966101694915255,-2.7966101694915255,-1.5706037320394493,-1.845843694596115
-2.7966101694915255,-2.694915254237288,-1.5797719160423913,-1.890105420937215
-2.7966101694915255,-2.593220338983051,-1.5892053246495923,-1.9347563434459842
-2.7966101694915255,-2.4915254237288136,-1.5989070771565794,-1.9797698530610592
-2.7966101694915255,-2.389830508474576,-1.6088796830786087,-2.025116305861103
-2.7966101694915255,-2.288135593220339,-1.619124967890071,-2.0707629210510428
-2.7966101694915255,-2.1864406779661016,-1.6296439972913084,-2.116673700685582
-2.7966101694915255,-2.084745762711864,-1.6404370010464877,-2.162809375568499
-2.7966101694915255,-1.9830508474576272,-1.6515032976199118,-2.209127381885079
-2.7966101694915255,-1.8813559322033897,-1.6628412210171528,-2.2555818731198487
-2.7966101694915255,-1.7796610169491525,-1.6744480514030924,-2.302123771656436
-2.7966101694915255,-1.6779661016949152,-1.6863199512116398,-2.3487008641269247
-2.7966101694915255,-1.5762711864406778,-1.6984519085707088,-2.395257944054435
-2.7966101694915255,-1.4745762711864405,-1.7108376899297202,-2.4417370046013476
-2.7966101694915255,-1.3728813559322033,-1.7234698037845808,-2.4880774832919244
-2.7966101694915255,-1.271186440677966,-1.7363394773365632,-2.534216559428511
-2.7966101694915255,-1.1694915254237288,-1.7494366477888952,-2.580089503584717
-2.7966101694915255,-1.0677966101694913,-1.762749969772932,-2.6256300770708734
-2.7966101694915255,-0.9661016949152543,-1.7762668401032164,-2.6707709776751862
-2.7966101694915255,-0.8644067796610169,-1.7899734406908796,-2.715444326350666
-2.7966101694915255,-0.7627118644067794,-1.8038548000060302,-2.759582187916341
-2.7966101694915255,-0.6610169491525424,-1.81789487298574,-2.8031171173528273
-2.7966101694915255,-0.5593220338983049,-1.8320766387535237,-2.8459827219802682
-2.7966101694915255,-0.45762711864406747,-1.8463822149716291,-2.8881142287913195
-2.7966101694915255,-0.35593220338983045,-1.860792987114567,-2.92944904554367
-2.7966101694915255,-0.254237288135593,-1.875289750458176,-2.9699273039499046
-2.7966101694915255,-0.15254237288135553,1.6067940804058485,6.596499839819915
-2.7966101694915255,-0.05084745762711851,1.5921845421762986,6.557900878461602
-2.7966101694915255,0.05084745762711895,1.577548615103814,6.5203168098929325
-2.7966101694915255,0.15254237288135597,1.5629062891315024,6.483791919260282
-2.7966101694915255,0.25423728813559343,1.5482773455504057,6.44836569265979
-2.7966101694915255,0.3559322033898309,1.5336812020153485,6.414072587580656
-2.7966101694915255,0.4576271186440679,1.5191367664009552,6.380941876033848
-2.7966101694915255,0.5593220338983054,1.5046623020735126,6.3489975609358
-2.7966101694915255,0.6610169491525424,1.4902753067273595,6.318258364289252
-2.7966101694915255,0.7627118644067798,1.4759924064538308,6.288737783841227
-2.7966101694915255,0.8644067796610173,1.4618292662020622,6.260444213275074
-2.7966101694915255,0.9661016949152543,1.4478005172793276,6.233381119664343
