# re(psi) im(psi) re(|psi|^2) im(|psi|^2)
-0.39714789063478134 0.9177546256839809 1.0000000000000002 0.0
-0.4399391698559155 0.8980275757606153 0.9999999999999998 0.0
-0.48175367410171543 0.8763066800438635 1.0 0.0
-0.5224985647159488 0.8526401643540922 0.9999999999999999 0.0
-0.5620833778521304 0.827080574274562 1.0000000000000002 0.0
-0.6004202253258847 0.7996846584870902 1.0000000000000002 0.0
-0.63742398974869 0.7705132427757889 0.9999999999999999 0.0
-0.6730125135097735 0.7396310949786096 1.0 0.0
-0.7071067811865475 0.7071067811865476 1.0 0.0
-0.7396310949786095 0.6730125135097736 1.0 0.0
-0.7705132427757888 0.6374239897486902 1.0 0.0
-0.7996846584870908 0.6004202253258837 1.0 0.0
-0.8270805742745619 0.5620833778521304 1.0 0.0
-0.8526401643540922 0.5224985647159489 1.0 0.0
-0.8763066800438634 0.48175367410171555 0.9999999999999999 0.0
-0.8980275757606153 0.43993916985591575 0.9999999999999999 0.0
-0.9177546256839813 0.39714789063478023 1.0 0.0
-0.9354440308298674 0.3534748437792571 1.0 0.0
-0.9510565162951535 0.3090169943749475 1.0 0.0
-0.9645574184577981 0.26387304996537325 1.0000000000000002 0.0
-0.9759167619387472 0.21814324139654317 1.0 0.0
-0.9851093261547738 0.17192910027941044 1.0 0.0
-0.9921147013144778 0.12533323356430548 1.0000000000000002 0.0
-0.9969173337331279 0.07845909572784637 1.0 0.0
-0.9995065603657315 0.03141075907812735 0.9999999999999998 0.0
-0.9998766324816606 -0.01570731731182129 1.0 0.0
-0.9980267284282716 -0.0627905195293138 1.0 0.0
-0.9939609554551797 -0.10973431109104548 1.0 0.0
-0.9876883405951378 -0.15643446504023067 1.0 0.0
-0.9792228106217659 -0.20278729535651202 1.0 0.0
-0.9685831611286313 -0.2486898871648543 1.0000000000000002 0.0
-0.9557930147983303 -0.29404032523230306 0.9999999999999999 0.0
-0.940880768954226 -0.33873792024529026 1.0000000000000002 0.0
-0.9238795325112874 -0.38268343236508845 1.0000000000000002 0.0
-0.9048270524660197 -0.42577929156507227 0.9999999999999999 0.0
-0.8837656300886931 -0.46792981426057395 1.0 0.0
-0.8607420270039434 -0.5090414157503715 0.9999999999999999 0.0
-0.8358073613682702 -0.5490228179981318 0.9999999999999999 0.0
-0.8090169943749476 -0.587785252292473 1.0 0.0
-0.7804304073383299 -0.6252426563357049 1.0 0.0
-0.75011106963046 -0.6613118653236513 1.0 0.0
-0.7181262977631895 -0.6959127965923136 1.0 0.0
-0.6845471059286895 -0.7289686274214106 0.9999999999999998 0.0
-0.6494480483301838 -0.7604059656000308 1.0 0.0
-0.6129070536529768 -0.79015501237569 0.9999999999999998 0.0
-0.575005252043278 -0.8181497174250238 1.0 0.0
-0.5358267949789963 -0.8443279255020152 0.9999999999999999 0.0
-0.49545866843240743 -0.8686315144381912 0.9999999999999998 0.0
-0.4539904997395469 -0.8910065241883678 1.0 0.0
-0.41151435860510915 -0.911403276635445 0.9999999999999998 0.0
-0.3681245526846786 -0.9297764858882511 0.9999999999999999 0.0
-0.32391741819815034 -0.946085358827545 1.0 0.0
-0.27899110603922916 -0.9602936856769431 1.0 0.0
-0.23344536385590559 -0.9723699203976764 0.9999999999999998 0.0
-0.18738131458572505 -0.9822872507286886 1.0 0.0
-0.1409012319375834 -0.9900236577165575 1.0 0.0
-0.09410831331851396 -0.99556196460308 0.9999999999999999 0.0
-0.047106450709642575 -0.99888987496197 1.0 0.0
