# re(psi_t) im(psi_t) re(psi_t+dt) im(psi_t+dt)
0.9709050184782338 -0.23946491411849968 0.9502325919585293 -0.3115413635133787
0.961244601128148 -0.27569696552916134 0.937884474792635 -0.3469477077931818
0.9502325919585293 -0.3115413635133787 0.9242176121354168 -0.38186621403144366
0.937884474792635 -0.3469477077931818 0.909251220760364 -0.41624778383288447
0.9242176121354168 -0.38186621403144366 0.8930063446890767 -0.4500440737806176
0.9092512207603637 -0.4162477838328853 0.875505825601583 -0.48320756341109833
0.8930063446890767 -0.4500440737806176 0.8567742707189892 -0.5156916220319507
0.875505825601583 -0.48320756341109833 0.8368380182036261 -0.5474505742887
0.8567742707189892 -0.5156916220319507 0.8157251001253574 -0.5784397643881994
0.8368380182036261 -0.5474505742887 0.7934652030460894 -0.608615618888497
0.8157251001253569 -0.5784397643882002 0.7700896262779447 -0.6379357079667947
0.7934652030460894 -0.608615618888497 0.7456312378737591 -0.6663588050794
0.7700896262779447 -0.6379357079667947 0.7201244284117936 -0.6938449449297643
0.7456312378737591 -0.6663588050794 0.693605062639662 -0.7203554796630831
0.7201244284117936 -0.6938449449297643 0.6661104290454266 -0.7458531332084875
0.6936050626396614 -0.7203554796630838 0.6376791874268166 -0.7703020536923648
0.6661104290454266 -0.7458531332084875 0.6083513145322552 -0.7936678638491527
0.6376791874268166 -0.7703020536923648 0.5781680478501389 -0.8159177093587071
0.6083513145322538 -0.7936678638491537 0.5471718276254267 -0.8370203050422673
0.5781680478501389 -0.8159177093587071 0.5154062371850283 -0.8569459788520921
0.5471718276254267 -0.8370203050422673 0.48291594165593704 -0.8756667135928827
0.5154062371850283 -0.8569459788520921 0.4497466251622582 -0.893156186316346
0.48291594165593704 -0.8756667135928827 0.41594492658942844 -0.9093898053335077
