# re(psi_t) im(psi_t) re(psi_t+dt) im(psi_t+dt)
0.18660978037993123 -0.4365196964696925 0.14068435475601726 -0.44846169322057067
0.1637389301440171 -0.44307981550023523 0.11750579283151577 -0.4526635346515684
0.14068435475601684 -0.4484616932205708 0.09426270001727864 -0.45568652679386906
0.11750579283151537 -0.45266353465156844 0.07101410246089455 -0.4575348059750772
0.09426270001727864 -0.45568652679386906 0.04781845281726715 -0.45821541811347405
0.07101410246089455 -0.4575348059750772 0.024733489128420112 -0.4577382720685469
0.04781845281726715 -0.45821541811347405 0.0018160969024975573 -0.4561160862642987
0.0247334891284197 -0.45773827206854684 -0.02087782529342886 -0.4533643287863532
0.001816096902497152 -0.45611608626429867 -0.043293496424091055 -0.44950115116825967
-0.02087782529342886 -0.4533643287863532 -0.06537737947024504 -0.44454731609611475
-0.043293496424091055 -0.44950115116825967 -0.0870773035295194 -0.43852611927360996
-0.06537737947024504 -0.44454731609611475 -0.1083425812708067 -0.43146330570187924
-0.0870773035295194 -0.43852611927360996 -0.12912412149340444 -0.42338698064001196
-0.1083425812708067 -0.43146330570187924 -0.14937453655686242 -0.4143275155228222
-0.12912412149340444 -0.42338698064001196 -0.1690482444627441 -0.40431744912236767
-0.14937453655686314 -0.4143275155228219 -0.18810156538507491 -0.39339138424882275
-0.1690482444627441 -0.40431744912236767 -0.20649281246225884 -0.3815858802945586
-0.18810156538507491 -0.39339138424882275 -0.22418237667949664 -0.3689393419327115
-0.20649281246225884 -0.3815858802945586 -0.24113280568728357 -0.3554919042880836
-0.22418237667949664 -0.3689393419327115 -0.25730887641835737 -0.34128531490390435
-0.24113280568728415 -0.35549190428808314 -0.2726776613823779 -0.3263628128328338
-0.25730887641835737 -0.34128531490390435 -0.28720858853473746 -0.31076900518452144
-0.2726776613823779 -0.3263628128328338 -0.3008734946330484 -0.2945497414651297
-0.28720858853473746 -0.31076900518452144 -0.3136466720120783 -0.27775198604644513
-0.3008734946330484 -0.2945497414651297 -0.32550490872513815 -0.2604236891035157
-0.3136466720120788 -0.2777519860464445 -0.3364275220170835 -0.24261365636026205
-0.32550490872513815 -0.2604236891035157 -0.3463963851112118 -0.22437141798209168
-0.3364275220170835 -0.24261365636026205 -0.3553959473092925 -0.20574709695333743
-0.3463963851112118 -0.22437141798209168 -0.36341324742077363 -0.18679127727527386
-0.3553959473092925 -0.20574709695333743 -0.3704379205538161 -0.1675548723175521
-0.36341324742077397 -0.1867912772752732 -0.37646219831713884 -0.14808899365223338
-0.3704379205538161 -0.1675548723175521 -0.3814809024977401 -0.12844482069507696
-0.37646219831713884 -0.14808899365223338 -0.3854914322952854 -0.10867347147350244
-0.3814809024977401 -0.12844482069507696 -0.3884937452093425 -0.08882587483464043
-0.3854914322952854 -0.10867347147350244 -0.3904903316906293 -0.06895264440012354
-0.3884937452093426 -0.08882587483463973 -0.3914861836819941 -0.049103954566869806
-0.3904903316906293 -0.06895264440012354 -0.39148875718894993 -0.029329418844955525
-0.3914861836819941 -0.049103954566869806 -0.3905079290331877 -0.009677970814931549
-0.39148875718894993 -0.029329418844955525 -0.38855594795557974 0.009802252022451899
-0.3905079290331877 -0.009677970814931549 -0.3856473802477191 0.029064021241152635
-0.38855594795557963 0.009802252022452586 -0.38179905010300696 0.04806112707692131
-0.3856473802477191 0.029064021241152635 -0.3770299748896583 0.06674848436521866
-0.38179905010300696 0.04806112707692131 -0.37136129555874076 0.08508223460016376
-0.377029974889658 0.06674848436521931 -0.3648162024104651 0.10301984389674346
-0.37136129555874076 0.08508223460016376 -0.35741985645137414 0.12052019665098743
-0.3648162024104651 0.10301984389674346 -0.3491993065838462 0.13754368470564535
-0.35741985645137414 0.12052019665098743 -0.340183402877397 0.1540522918421065
-0.3491993065838462 0.13754368470564535 -0.33040270617861034 0.1700096734328481
-0.3401834028773966 0.15405229184210706 -0.31988939432318925 0.1853812311024688
-0.33040270617861034 0.1700096734328481 -0.30867716521951294 0.20013418225944862
-0.31988939432318925 0.1853812311024688 -0.2968011370782758 0.21423762437500904
-0.30867716521951294 0.20013418225944862 -0.2842977460672211 0.22766259389987545
-0.2968011370782758 0.21423762437500904 -0.27120464167365965 0.240382119724315
-0.2842977460672206 0.22766259389987586 -0.2575605800604325 0.25237127110144564
-0.27120464167365965 0.240382119724315 -0.2434053157031493 0.2636071999685411
-0.2575605800604325 0.25237127110144564 -0.22877949159800373 0.2740691776157613
-0.2434053157031493 0.2636071999685411 -0.21372452833018013 0.2837386256664411
-0.22877949159800373 0.2740691776157613 -0.19828251229282362 0.2925991413477297
-0.21372452833017958 0.2837386256664415 -0.18249608334582218 0.3006365170449018
-0.19828251229282362 0.2925991413477297 -0.16640832220215118 0.3078387541471134
-0.18249608334582218 0.3006365170449018 -0.15006263782736795 0.31419607120661747
-0.16640832220215118 0.3078387541471134 -0.13350265513497248 0.31970090644752525
-0.15006263782736795 0.31419607120661747 -0.11677210325677205 0.3243479146740416
-0.1335026551349719 0.31970090644752547 -0.09991470466319811 0.3281339586416576
